threshold,precision,recall,f1,accuracy
0.8599999999999999,0.18181818181818182,0.19047619047619047,0.18604651162790697,0.8885350318471338
0.8699999999999999,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.89171974522293
0.8799999999999999,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.89171974522293
0.8899999999999999,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.89171974522293
0.8999999999999999,0.2,0.19047619047619047,0.1951219512195122,0.8949044585987261
0.9099999999999999,0.15789473684210525,0.14285714285714285,0.15,0.89171974522293
0.9199999999999999,0.17647058823529413,0.14285714285714285,0.15789473684210525,0.8980891719745223
0.9299999999999999,0.125,0.09523809523809523,0.10810810810810811,0.8949044585987261
0.94,0.13333333333333333,0.09523809523809523,0.1111111111111111,0.8980891719745223
0.95,0.16666666666666666,0.09523809523809523,0.12121212121212122,0.9076433121019108
